mcl(2)Z3534	FBgn0069177
5SrRNA:CR33428	FBgn0053428
CG42449	FBgn0259926
2L1540	FBgn0260606
EP3-934	FBgn0260806
Ugt35a	FBgn0026315
GalNAc-T2	FBgn0030930
Syn1	FBgn0037130
CG31326	FBgn0051326
CR44937	FBgn0266242
CG7912	FBgn0039736
CR43460	FBgn0263414
2L1506	FBgn0260081
CR45771	FBgn0267418
Pt-4	FBgn0022369
CR32011	FBgn0052011
SoxN	FBgn0029123
ppo	FBgn0041099
mcl(3)Z3370	FBgn0069151
slt	FBgn0003433
comm	FBgn0010105
l(2)E105	FBgn0027170
CG18371	FBgn0033893
EC549	FBgn0261727
su(pr)	FBgn0003573
pinenut	FBgn0266470
cact::N	FBgn0014136
unc80	FBgn0039536
bek	FBgn0082599
tRNA:iMet-CAT-1-4	FBgn0011927
CG32374	FBgn0052374
CG14717	FBgn0265271
scro	FBgn0028993
oap	FBgn0020265
tilF	FBgn0016949
l(2)k09923	FBgn0021977
E(To)13	FBgn0046122
anon-70Dc	FBgn0016774
ms(1)66	FBgn0027630
abo	FBgn0000018
Rok	FBgn0026181
l(4)102Fa	FBgn0045851
CG8549	FBgn0035714
EP-256	FBgn0259415
CR44960	FBgn0266275
l(3)03346	FBgn0010796
mus323	FBgn0069102
Mst77F-PsiY1	FBgn0010243
wake	FBgn0266418
l(2)DA2	FBgn0014253
Rlip	FBgn0026056
plw	FBgn0003115
l(1)em4	FBgn0041745
mus101	FBgn0002878
yip3	FBgn0040063
l(2)24Fa	FBgn0001909
DebC	FBgn0004455
CG5989	FBgn0017429
Cpr49Af	FBgn0033729
2D5	FBgn0067331
tRNA:Gly-GCC-2-1	FBgn0011866
l(3)e	FBgn0005207
l(1)EH275a	FBgn0020293
l(2)SH0107	FBgn0065945
CG15463	FBgn0040652
fs(2)neo11	FBgn0013454
anon-10Ao	FBgn0023119
ply	FBgn0019663
B1505	FBgn0259616
mis-b	FBgn0016037
CG34280	FBgn0085309
CG11741	FBgn0040531
Exh	FBgn0004476
l(1)16ACa	FBgn0015417
CG3649	FBgn0034785
CG13842	FBgn0039009
tRNA:Ser-CGA-1-4	FBgn0028981
CR45548	FBgn0267108
l(2)38EFc	FBgn0025168
CG5987	FBgn0039501
CG18831	FBgn0042154
CG3436	FBgn0031229
Mst77Y-10Psi	FBgn0262759
yemG2.8	FBgn0005601
CG45486	FBgn0267042
Fbxl4	FBgn0030555
CG10914	FBgn0034307
CG15497	FBgn0038894
Pkc53E::Pkn	FBgn0260503
Mst77Y-12	FBgn0262761
CG14389	FBgn0040550
l(3)S144608	FBgn0060335
snoRNA:Psi18S-525d	FBgn0083035
snoRNA:Psi18S-1086	FBgn0083058
2L2218	FBgn0260098
mthl15	FBgn0051720
S(CycE[JP])13S1	FBgn0082637
elav::Rbp9	FBgn0042647
l(3)S102012b	FBgn0060524
l(2)K335	FBgn0002144
juv	FBgn0004968
ABO-YL	FBgn0004938
l(1)AL3	FBgn0001581
mat(2)syn-G	FBgn0002679
mir-1016	FBgn0262427
CG43207	FBgn0262843
l(3)S059813	FBgn0060784
Galphao	FBgn0001122
ms(2)A5	FBgn0025151
CG10420	FBgn0039296
CG33928	FBgn0053928
l(2)SH0521	FBgn0065743
snoRNA:Me28S-C3227a	FBgn0082940
mir-986	FBgn0262316
CG10365	FBgn0039109
l(1)CB-6411-3	FBgn0064177
l(2)SH1821	FBgn0065344
tRNA:Leu-CAG-1-7	FBgn0052363
s-334	FBgn0266505
miple2	FBgn0029002
CG9940	FBgn0030512
l(3)S072703b	FBgn0028100
CG41588	FBgn0085712
GustR	FBgn0001163
ovl	FBgn0003027
Pnn	FBgn0037737
l(1)7Dl	FBgn0001458
l(3)S070717	FBgn0060706
l(1)G0186	FBgn0027282
CG31368	FBgn0051368
CG43450	FBgn0263404
Sox100B	FBgn0024288
CG12279	FBgn0038080
GstS1	FBgn0010226
Rbp1-like	FBgn0030479
l(3)L5541	FBgn0024561
CR45925	FBgn0267587
l(3)ry78	FBgn0013564
boc	FBgn0011203
CR43452	FBgn0263406
CR40461	FBgn0058461
l(2)17E1	FBgn0026659
CG32985	FBgn0052985
CG5402	FBgn0039521
GstE3	FBgn0063497
Syt4	FBgn0028400
CR45606	FBgn0267166
F-element\\RTase	FBgn0041633
CG12729	FBgn0029816
l(3)S040506	FBgn0060938
CG44428	FBgn0265610
l(4)102CDm	FBgn0004542
CG14964	FBgn0035410
CG34253	FBgn0085282
CR45414	FBgn0266963
l(1)HM13	FBgn0001743
CG6709	FBgn0036056
HM696	FBgn0082337
Ser12	FBgn0011832
anon-VII-C7	FBgn0020562
CG13455	FBgn0036498
CG17580	FBgn0040755
CR43461	FBgn0263415
CG44426	FBgn0265608
CG17985	FBgn0033199
Osi13	FBgn0037422
B0426	FBgn0259635
mt:tRNA:Leu-TAA	FBgn0013699
anon-75Cd	FBgn0015890
Paip2	FBgn0038100
CG2924	FBgn0023528
CR33629	FBgn0053629
CG4842	FBgn0036620
l(2)F9	FBgn0020837
CG14967	FBgn0035420
Sox21a	FBgn0036411
Vamp7	FBgn0266186
anon-14Ca	FBgn0017447
GSd419	FBgn0260365
mus310	FBgn0002907
AOX2	FBgn0038348
anon-XXIV	FBgn0019844
Cpn	FBgn0261714
l(1)MZ9	FBgn0016840
CG40045	FBgn0058045
sdv	FBgn0067646
CG13796	FBgn0031939
CG9289	FBgn0032058
Cht12	FBgn0050293
l(2)k08707	FBgn0024651
l(3)68Dc	FBgn0002249
tRNA:Ala-CGC-1-1	FBgn0050198
l(3)S119607b	FBgn0060452
snoRNA:MeU6-C68	FBgn0086021
homer	FBgn0025777
CG16833	FBgn0026147
CG15203	FBgn0030261
CG9164	FBgn0030634
flw	FBgn0000711
CR40100	FBgn0058100
hoernchen	FBgn0069213
EG56	FBgn0262068
mor(1)10	FBgn0019681
l(3)S032414	FBgn0060960
Su(Ste):CR42443	FBgn0259874
l(1)ESHS17	FBgn0001696
l(2)SH0788	FBgn0065629
Thor	FBgn0261560
Lar	FBgn0000464
anon-10As	FBgn0023115
Lcp9	FBgn0025578
Pkn	FBgn0020621
CR44161	FBgn0265044
CR42874	FBgn0262148
arr	FBgn0000119
fs(1)M28	FBgn0000841
l(1)Q209	FBgn0011134
Alu	FBgn0000070
CG40116	FBgn0058116
l(2)SH2326	FBgn0065193
l(2)49Fj	FBgn0002081
CG6749	FBgn0036040
Smurf	FBgn0029006
CG17163	FBgn0039942
GSd408	FBgn0260291
l(2)k14601	FBgn0021852
Sfp78E	FBgn0261059
Spase22-23	FBgn0039172
dar4	FBgn0259103
PAN2	FBgn0033352
l(3)S082908a	FBgn0060655
l(3)73Ae	FBgn0002280
CG18266	FBgn0031724
BG00757	FBgn0263947
l(2)k15206	FBgn0021839
EndoB	FBgn0034433
rho	FBgn0004635
hts	FBgn0263391
CG13650	FBgn0039277
eff	FBgn0011217
Su(Mir)3	FBgn0264277
CG7946	FBgn0039743
CR45536	FBgn0267096
CR44064	FBgn0264873
Fip2	FBgn0015731
Rst(2)Lb	FBgn0016729
milou	FBgn0026204
l(2)39DEk	FBgn0016886
Gld::Dpse\\Gld	FBgn0022539
CG9106	FBgn0030624
l(3)S068111b	FBgn0060724
CG9253	FBgn0032919
CG6888	FBgn0036490
CG5665	FBgn0036977
EP1207	FBgn0083243
CR45448	FBgn0267004
CG32037	FBgn0052037
CG30154	FBgn0050154
snoRNA:Psi18S-525e	FBgn0083034
foil	FBgn0084305
EP-339	FBgn0259316
CG11275	FBgn0034706
CG15262	FBgn0028852
Mod(var)242	FBgn0062581
l(3)06734	FBgn0026217
sunny-side-up	FBgn0067644
CG2034	FBgn0015359
l(3)S025266	FBgn0061020
CG5065	FBgn0034145
5SrRNA:CR33413	FBgn0053413
CG6495	FBgn0027550
CG32647	FBgn0052647
CR46029	FBgn0267693
CG34008	FBgn0054008
CG40177	FBgn0058177
anon-48Fa	FBgn0020346
CG12065	FBgn0030052
CG13416	FBgn0038906
su(B)4	FBgn0003549
SPR	FBgn0029768
CG13116	FBgn0032139
l(2)SH2136	FBgn0065248
fs(1)A473	FBgn0000759
futsch	FBgn0259108
CG32079	FBgn0052079
CR45952	FBgn0267614
CG42365	FBgn0259711
CR43979	FBgn0264710
Cyp6a9	FBgn0013771
sml	FBgn0003442
rr	FBgn0020785
bns	FBgn0043905
CR45744	FBgn0267308
cmp	FBgn0000335
bulgy	FBgn0264633
CR45733	FBgn0267297
ascutex	FBgn0000141
anon-92Ea	FBgn0014935
CR45551	FBgn0267111
l(1)ts1343	FBgn0005483
CR44256	FBgn0265196
CG43134	FBgn0262608
l(3)89Bj	FBgn0004757
CR41101	FBgn0085782
ttd1	FBgn0259939
l(3)94Fa	FBgn0014302
CG7248	FBgn0036229
CG33127	FBgn0053127
C518	FBgn0259359
CG3337	FBgn0038871
natalisin	FBgn0085417
df	FBgn0000437
B0915	FBgn0259643
CG8028	FBgn0031010
iab-3-2.s	FBgn0065987
mir-1009	FBgn0262435
tRNA:Gly-TCC-1-2	FBgn0051491
let-7	FBgn0262406
piddling	FBgn0264658
lys	FBgn0002574
su(dx)r	FBgn0003556
CG33144	FBgn0053144
Cpr97Eb	FBgn0039481
CG9123	FBgn0030629
SMSr	FBgn0052380
ms(2)2	FBgn0002817
l(1)em5	FBgn0041744
CR45655	FBgn0267215
CG30091	FBgn0050091
Etd	FBgn0000595
Nsf2	FBgn0266464
94Che	FBgn0008641
Or67d	FBgn0036080
l(1)G0007	FBgn0026713
CG44521	FBgn0265714
l(1)TK131	FBgn0005722
Tom70	FBgn0032397
CG16787	FBgn0034940
GAPcenA	FBgn0035879
Roa	FBgn0016725
mir-11	FBgn0262434
mat(2)cell-D	FBgn0002655
salt	FBgn0039872
CG1840	FBgn0030351
C901	FBgn0021742
zaro	FBgn0015566
l(1)G0147	FBgn0027295
l(3)91Ce	FBgn0028250
CG7443	FBgn0037577
mir-982	FBgn0262339
nxf2	FBgn0036640
CG9706	FBgn0036662
CG30195	FBgn0050195
Pax	FBgn0041789
CR46074	FBgn0267743
tin::Mmus\\Nkx2-5	FBgn0025467
CG33311	FBgn0053311
l(2)SH1104	FBgn0065533
CR43917	FBgn0264518
l(3)S001917	FBgn0061133
Ttd12	FBgn0259946
l(3)S090405b	FBgn0060609
CG1537	FBgn0030260
CG13955	FBgn0033412
Dlip1	FBgn0040467
CR32769	FBgn0062943
l(2)SH0130	FBgn0065933
fs(2)eo5	FBgn0000969
EY10546	FBgn0260815
E(smoDN)1575	FBgn0083304
btd	FBgn0000233
Obp99a	FBgn0039678
Pex10	FBgn0035233
CG18476	FBgn0037931
l(1)291-68	FBgn0011177
ju	FBgn0004684
CG17652	FBgn0031361
l(2)31Cb	FBgn0014217
CPT2	FBgn0035383
Trim9	FBgn0051721
Mst84Dd	FBgn0004175
Ahcy89E	FBgn0015011
OdsH	FBgn0026058
CG7916	FBgn0028534
CG9171	FBgn0031738
CR44507	FBgn0265700
Nmdmc	FBgn0010222
CR45451	FBgn0267007
CG31229	FBgn0051229
mir-280	FBgn0262440
Pde8	FBgn0266377
Rh3	FBgn0003249
M285	FBgn0025576
ND-75	FBgn0017566
pyx	FBgn0035113
lackluster	FBgn0086299
CG11664	FBgn0040341
l(3)04220	FBgn0010836
CG14187	FBgn0036938
CG32113	FBgn0052113
CG9266	FBgn0032909
tRNA:Ser-TGA-2-1	FBgn0050202
sog	FBgn0003463
hip7	FBgn0025929
S(CycE[JP])3.1	FBgn0082627
fs(3)HO127	FBgn0001045
snoRNA:U29:54Ec	FBgn0063383
B0731	FBgn0259532
Doc\\RTase	FBgn0024790
CG17179	FBgn0035973
mdg1\\ORF2	FBgn0045846
bel	FBgn0263231
l(3)65ACf	FBgn0015496
tRNA:Ala-AGC-2-10	FBgn0051576
CG34423	FBgn0085452
Galk	FBgn0263199
CG9014	FBgn0028847
CG12123	FBgn0030039
CR43863	FBgn0264445
l(2)35De	FBgn0001985
CG14891	FBgn0038445
CG9360	FBgn0030332
Ns2	FBgn0034243
Ctr1A	FBgn0062413
anon-4Cc	FBgn0014104
Wnk	FBgn0037098
CR45945	FBgn0267607
Metatarsi-irregular	FBgn0010073
CG13332	FBgn0033851
GSd452	FBgn0260335
His4:CG33897	FBgn0053897
l(1)TK132	FBgn0005723
papi	FBgn0031401
anon-48Ah	FBgn0015879
CG13983	FBgn0031792
SA	FBgn0020616
CR45042	FBgn0266402
CG45092	FBgn0266525
UY2129	FBgn0069338
E(var)3-4	FBgn0013250
drosha	FBgn0026722
Cbp82F	FBgn0000254
fs(2)OWc6	FBgn0005094
RfC4	FBgn0260985
E(sda)D	FBgn0066129
e	FBgn0000527
CG30160	FBgn0050160
E(var)261	FBgn0013244
Spn55B	FBgn0028983
CR44460	FBgn0265653
CG12998	FBgn0030829
CR42547	FBgn0260720
l(1)291-11	FBgn0011173
CG34210	FBgn0085239
peb	FBgn0003053
CG5906	FBgn0036217
E(tc)	FBgn0064245
mir-1013	FBgn0262444
l(3)68Ee	FBgn0002253
l(2)G56	FBgn0029039
Bet3	FBgn0260859
CG42235	FBgn0250757
CR45616	FBgn0267176
CG12523	FBgn0036102
Hmg-2	FBgn0026582
Obp8a	FBgn0030103
5SrRNA:CR33436	FBgn0053436
CG13704	FBgn0035583
l(3)SH116	FBgn0065136
CR44429	FBgn0265611
Eig45Ab	FBgn0017626
Miro	FBgn0039140
ms(1)V73	FBgn0002814
l(1)Q14	FBgn0011061
CR32658	FBgn0040859
geminin	FBgn0033081
qs	FBgn0003186
CG13871	FBgn0034502
phol	FBgn0035997
CR44363	FBgn0265470
Reg-20	FBgn0016716
CG2906	FBgn0033240
fs(1)56	FBgn0045044
HEATR2	FBgn0051320
nut	FBgn0266467
E(ro[DOM])3222	FBgn0043592
l(1)M25	FBgn0001765
Keap1	FBgn0038475
l(3)S051022a	FBgn0028132
CG18265	FBgn0036725
CG31495	FBgn0051495
CR45378	FBgn0266927
hyd	FBgn0002431
TyrRS	FBgn0027080
CG40156	FBgn0058156
B1511	FBgn0259596
CR31767	FBgn0051767
CG8628	FBgn0250836
l(3)A42	FBgn0263884
kis	FBgn0266557
mir-2281	FBgn0262327
CR46177	FBgn0267889
CG10911	FBgn0034295
CR44443	FBgn0265636
CG4603	FBgn0035593
fs(3)BA32	FBgn0040216
Mctp	FBgn0034389
l(3)S139908	FBgn0250744
Rst(2)mth	FBgn0010079
PH4alphaNE3	FBgn0051017
CR44661	FBgn0265872
db	FBgn0000419
CG3987	FBgn0038292
l(2)NC83	FBgn0067360
CG8111	FBgn0035825
CG9451	FBgn0036876
l(2)SH0892	FBgn0065595
CR45517	FBgn0267073
GlyS	FBgn0266064
l(2)SH1056	FBgn0065543
spd-2	FBgn0027500
CG14395	FBgn0038073
Mob3	FBgn0259482
Su(var)3-14	FBgn0003605
ranshi	FBgn0037620
CG14892	FBgn0038447
l(2)K203	FBgn0002130
Mod(var)224	FBgn0062583
CG5348	FBgn0034156
CR45560	FBgn0267120
retx	FBgn0022982
l(3)S082808b	FBgn0060657
l(1)8e3-43	FBgn0019742
CG32786	FBgn0052786
blood\\sORF	FBgn0045863
CG31797	FBgn0051797
l(3)SG88	FBgn0005268
DTD44.4	FBgn0044499
CR41379	FBgn0085784
ACXE	FBgn0040506
EK2-5	FBgn0043590
usp::Cten\\Usp-1	FBgn0045032
l(3)S141110	FBgn0027973
pio	FBgn0020521
CG10959	FBgn0030010
tomb	FBgn0031715
anon-64Bc	FBgn0013395
arr::dsh	FBgn0283540
l(1)1Da	FBgn0001344
CG2736	FBgn0035090
CG10005	FBgn0037972
l(3)SG2	FBgn0002449
ninaE	FBgn0002940
CG7290	FBgn0036949
Damm	FBgn0033659
frtz	FBgn0086698
CG4025	FBgn0025624
CR43454	FBgn0263408
CG3107	FBgn0033005
po	FBgn0003119
Zasp52	FBgn0265991
U2A	FBgn0033210
Rbp	FBgn0262483
et	FBgn0031055
l(3)ED220-2	FBgn0262654
Pkc53E	FBgn0003091
l(2)60Cb	FBgn0004100
CG3756	FBgn0031657
tft	FBgn0003688
tamo	FBgn0041582
Task7	FBgn0037690
CG18848	FBgn0042168
Indf	FBgn0019970
CR45564	FBgn0267124
CR45905	FBgn0267565
mRpL48	FBgn0031357
spz3	FBgn0031959
un	FBgn0003949
CR42653	FBgn0261505
S-element\\T	FBgn0044019
CG43647	FBgn0263656
urd	FBgn0003960
mpt-1	FBgn0015515
CG41552	FBgn0085683
CG14452	FBgn0037180
Mod(var)E113	FBgn0062576
l(1)3Al	FBgn0023051
Sirt4	FBgn0029783
l(1)adl14	FBgn0005425
X-72-7	FBgn0069306
B1508	FBgn0259634
TAS	FBgn0041614
CG2889	FBgn0030206
CG12696	FBgn0040873
tsh	FBgn0003866
Myo31DF::Myo61F	FBgn0265352
Cpsf160	FBgn0024698
ab	FBgn0264442
sbs	FBgn0003322
l(1)sc	FBgn0002561
l(2)31Bc	FBgn0014215
l(2)C805	FBgn0064175
mir-2535b	FBgn0263559
fs(2)eo4	FBgn0000963
Galphaq	FBgn0004435
E(w[a])709	FBgn0020057
Wmc2	FBgn0022760
l(3)L7251	FBgn0024571
Vha100-4	FBgn0038613
rdgG	FBgn0026185
Tps1	FBgn0027560
l(1)1Af	FBgn0001336
B1250	FBgn0259558
anon-89Bb	FBgn0025941
l(2)M7	FBgn0020835
CG14883	FBgn0038432
l(2)SH1927	FBgn0065316
h::sc	FBgn0019806
CG13163	FBgn0033712
CG11249	FBgn0037115
vlc	FBgn0259978
su(lz[34])	FBgn0003568
fs(2)OW211	FBgn0005070
rng	FBgn0069089
CR44688	FBgn0265899
l(2)49Fp	FBgn0025162
l(1)em1	FBgn0041748
CG46281	FBgn0283439
KrT95D	FBgn0020647
MMS-4	FBgn0044863
l(2)SH1656	FBgn0065383
l(2)DTS1	FBgn0005143
PH4alphaEFB	FBgn0039776
CG41089	FBgn0069946
l(3)j13C8	FBgn0267250
bam	FBgn0000158
dUTPase	FBgn0250837
l(1)10Dd	FBgn0005406
CG14207	FBgn0031037
CG5445	FBgn0030838
l(2)k11006	FBgn0026638
fs(3)82EFb	FBgn0025514
CG12880	FBgn0046258
CG1578	FBgn0030336
CG6415	FBgn0032287
Rst(2)DDT-EMS1	FBgn0067403
ltwt	FBgn0024854
CG8926	FBgn0030819
CG31769	FBgn0051769
l(3)L3999	FBgn0020814
Mod(Prat:bw)2-3	FBgn0067880
anon-21Ab	FBgn0029104
CG32378	FBgn0052378
CG44624	FBgn0265835
Obp28a	FBgn0011283
fs(3)HO133	FBgn0001046
CR45376	FBgn0266925
l(1)HM22	FBgn0001750
CG15657	FBgn0034595
l(2)k10613	FBgn0026639
CR40582	FBgn0085751
alpha-Spec	FBgn0250789
CG6279	FBgn0036125
l(2)56Ff	FBgn0004704
GSd098	FBgn0260278
eth-as313	FBgn0041757
lov	FBgn0266129
Osi4	FBgn0037412
DCTN5-p25	FBgn0040228
fs(1)de10	FBgn0000799
CG15233	FBgn0033076
CG9372	FBgn0036891
CR45829	FBgn0267479
CG31883	FBgn0032122
koi	FBgn0265003
ZnT49B	FBgn0033762
l(3)3450-P	FBgn0063407
CG9588	FBgn0038166
rempD	FBgn0043857
UbxPRE	FBgn0024275
Blos4	FBgn0036105
E(rst)H186	FBgn0044083
l(3)72Dg	FBgn0005539
CG15059	FBgn0030905
snoRNA:Me18S-C419	FBgn0086533
Ir56e	FBgn0265142
Fill	FBgn0082672
l(1)6Fb	FBgn0001429
auk	FBgn0020867
anon-10Ag	FBgn0014900
ATPsyngamma	FBgn0020235
CG1998	FBgn0030485
mri	FBgn0035107
CG33257	FBgn0053257
CG40412	FBgn0058412
CG13071	FBgn0036585
BG02320	FBgn0086397
B9d2	FBgn0261683
IntS8	FBgn0025830
CG12541	FBgn0029930
CG15084	FBgn0034402
ato::Bmor\\ato	FBgn0264736
CG33189	FBgn0053189
CG8026	FBgn0033391
l(2)SH0580	FBgn0065714
CR44697	FBgn0265908
CR46122	FBgn0267797
fs(2)lto3	FBgn0010301
CG7536	FBgn0030890
CngB	FBgn0266346
CG43291	FBgn0262983
elav	FBgn0260400
mc-44A	FBgn0002915
Ect3	FBgn0260746
creeper	FBgn0264638
nofA	FBgn0002950
tu(2)K	FBgn0010183
TBCC	FBgn0051961
T-C9.12	FBgn0015826
X-162-11	FBgn0069322
CG33109	FBgn0053109
biz	FBgn0015365
l(2)SH0154	FBgn0065921
mir-190	FBgn0262387
fax	FBgn0014163
Or59a	FBgn0026384
l(2)SH0474	FBgn0065765
C459	FBgn0259352
Su(mg)3-3	FBgn0023149
CG33766	FBgn0053766
CG7432	FBgn0038727
5SrRNA:CR33415	FBgn0053415
hip66	FBgn0025930
l(3)S145609	FBgn0060333
su(b)	FBgn0003546
l(3)S000122b	FBgn0061146
Jwa	FBgn0032704
l(2)k04810	FBgn0022197
His3:CG33830	FBgn0053830
abb	FBgn0000012
l(1)17Ae	FBgn0004961
CG32371	FBgn0052371
CG42568	FBgn0260770
FASN2	FBgn0042627
Mst77Y-6Psi	FBgn0262755
l(3)95BCc	FBgn0021782
CG42823	FBgn0262005
ND-B14.5A	FBgn0025839
lent	FBgn0086300
CR43656	FBgn0263665
CG12858	FBgn0033958
CkIIalpha-i1	FBgn0015025
CG14459	FBgn0037171
fs(1)201	FBgn0004496
pyr	FBgn0033649
ND-B15	FBgn0033961
CG14164	FBgn0036057
tup	FBgn0003896
CG45060	FBgn0266430
Ars-region15	FBgn0004080
yellow-e	FBgn0041711
Usp1	FBgn0028476
BP1045	FBgn0082861
CR45410	FBgn0266959
mop	FBgn0036448
l(3)S080301	FBgn0060668
CG41348	FBgn0085629
l(2)59ABb	FBgn0025508
l(3)S016603b	FBgn0061074
rwi	FBgn0003307
E(rst)C389	FBgn0044107
l(2)60Dd	FBgn0004096
Art2	FBgn0031592
CG14882	FBgn0038429
act	FBgn0000041
l(1)N30	FBgn0016849
CR43926	FBgn0264547
wst	FBgn0082914
CR44354	FBgn0265454
Gs2	FBgn0001145
l(2)S42A	FBgn0005188
CG1749	FBgn0030305
l(1)v453	FBgn0005456
Set	FBgn0014879
His2BPsi	FBgn0025591
CR44946	FBgn0266251
l(2)SH0732	FBgn0065652
CR40257	FBgn0058257
Cbp86A	FBgn0023396
anon-14Aa	FBgn0015857
CG32468	FBgn0052468
l(3)88EFg	FBgn0062525
Ripalpha	FBgn0032189
CG1287	FBgn0037506
EP2012	FBgn0084445
CG14965	FBgn0035414
JJF178	FBgn0069408
snoRNA:Me28S-A576	FBgn0086080
l(3)93Cb	FBgn0002382
crpe	FBgn0004793
l(3)SH019	FBgn0065173
CR43827	FBgn0264375
l(3)DTS10	FBgn0005206
C500	FBgn0259381
Fs(3)Kel	FBgn0001056
Bili	FBgn0039282
Sugb	FBgn0036191
CR43309	FBgn0263001
Patsas	FBgn0029137
JYalpha	FBgn0267363
l(2)39Aa	FBgn0016868
CG13902	FBgn0035166
l(1)N8	FBgn0016860
CG11362	FBgn0034737
D12.A	FBgn0067304
CR45650	FBgn0267210
CG3071	FBgn0023527
C573	FBgn0259329
CG42359	FBgn0259705
CR46229	FBgn0267949
l(1)1074-ts	FBgn0001575
l(1)M53	FBgn0001775
snoRNA:Me28S-A774b	FBgn0086078
fs(1)C4	FBgn0000788
CG13741	FBgn0033374
vr	FBgn0003989
CG31099	FBgn0051099
mcl(3)Z4617	FBgn0069143
yea4	FBgn0004038
CR41571	FBgn0085804
CG43897	FBgn0264489
His3:CG33818	FBgn0053818
mir-990	FBgn0262307
Hex-t1	FBgn0042711
CR43734	FBgn0263985
fl338	FBgn0024237
CR45463	FBgn0267019
Pgk	FBgn0250906
CR43992	FBgn0264724
CG13314	FBgn0035949
S(CycE[JP])2.8	FBgn0082630
E(tuh-1)	FBgn0005040
fs(3)A4	FBgn0001013
CG7295	FBgn0031372
exu::Dpse\\exu1	FBgn0014956
l(3)S001620b	FBgn0061135
CG42470	FBgn0259960
iab-4-6.s	FBgn0065984
CR46022	FBgn0267686
btsz	FBgn0266756
bocks	FBgn0037719
CG7920	FBgn0039737
ver	FBgn0262524
ck	FBgn0000317
Cyp6d4	FBgn0039006
Dh31	FBgn0032048
X-28-2	FBgn0069310
T3dh	FBgn0017482
GluRIID	FBgn0028422
dsb	FBgn0035290
CG32762	FBgn0052762
CR44238	FBgn0265169
snoRNA:Me28S-C788a	FBgn0086063
agq	FBgn0004944
slmo	FBgn0029161
CG10880	FBgn0031398
412\\ORF2	FBgn0043848
CG41119	FBgn0069932
l(2)01855	FBgn0010499
CG10131	FBgn0033949
ms(2)E12	FBgn0002833
CG10702	FBgn0032752
Mei66F	FBgn0015761
TSG101	FBgn0036666
mei-160	FBgn0025919
CG41441	FBgn0084006
CR40255	FBgn0058255
Ni-K	FBgn0010076
CG33287	FBgn0053287
snoRNA:Me28S-G3081a	FBgn0063381
bb-Psi	FBgn0020557
CG43885	FBgn0264477
CG5781	FBgn0032448
CG18416	FBgn0034482
CG31735	FBgn0051735
levy	FBgn0034877
CG17180	FBgn0035140
snoRNA:185	FBgn0065076
CG11381	FBgn0029568
CG14661	FBgn0037288
l(3)S084013b	FBgn0060645
CG34284	FBgn0085313
CG41562	FBgn0085693
CG8003	FBgn0036096
Kf2	FBgn0001305
CG7201	FBgn0035865
rdgB::Rnor\\PITPNA	FBgn0022983
l(3)S073002a	FBgn0028099
Mal-A7	FBgn0033296
MED22	FBgn0040339
Srp19	FBgn0015298
CG11790	FBgn0039265
CG14705	FBgn0040546
CR46062	FBgn0267731
CG40660	FBgn0085507
CG11251	FBgn0036346
grl	FBgn0067768
CR41504	FBgn0085788
l(1)296-13	FBgn0011188
CG34430	FBgn0085459
Cpr49Ae	FBgn0033728
BG01907	FBgn0265482
l(1)16Fo	FBgn0026226
pigeon	FBgn0010309
CG12814	FBgn0037796
l(3)S110408	FBgn0060487
E(smoDN)2619	FBgn0083271
bsc	FBgn0000226
feng	FBgn0024239
Hip1	FBgn0036309
CG42445	FBgn0259916
vap	FBgn0003969
CR33496	FBgn0053496
CG31178	FBgn0064912
tRNA:Asp-GTC-1-9	FBgn0051888
ACE1	FBgn0015003
CG13287	FBgn0035643
Scim14	FBgn0044413
CG41616	FBgn0085723
2L2798	FBgn0260621
l(1)ESHS27	FBgn0001706
l(3)S067309	FBgn0060730
FCE-F	FBgn0264413
CR45211	FBgn0266738
l(1)Q221	FBgn0011145
CG8197	FBgn0033369
Pmi	FBgn0044419
Pal2	FBgn0262728
CG13876	FBgn0035109
EP2599	FBgn0043356
l(2)k11702	FBgn0021907
vret	FBgn0263143
Su(SuRaf1)2	FBgn0026353
Acsl	FBgn0263120
l(2)SH1673	FBgn0065377
ant	FBgn0004473
l(2)60A-H	FBgn0027185
l(2)45Ap	FBgn0061497
Atxn7	FBgn0031420
E(sda)I	FBgn0066125
ci::pan	FBgn0025938
l(2)01848	FBgn0010498
CG10919	FBgn0037514
CR43963	FBgn0264678
l(2)36Ba	FBgn0002002
CR43892	FBgn0264484
tRNA:Val-AAC-1-1	FBgn0012011
CG4752	FBgn0034733
fliF	FBgn0001116
CG31088	FBgn0051088
ms(2)ry2	FBgn0013655
Vm42A	FBgn0015842
l(3)S130608	FBgn0060407
Lgr4	FBgn0085440
l(3)S002309	FBgn0028237
EC88	FBgn0024757
CG13739	FBgn0033403
CG4020	FBgn0029821
CG13052	FBgn0040800
ms(1)19Fa	FBgn0002802
ocm	FBgn0266083
Cip4	FBgn0035533
Prx3	FBgn0038519
anon-45Ab	FBgn0026742
mir-2283	FBgn0262180
l(2)DTS19	FBgn0005148
CG15659	FBgn0040655
RpS7	FBgn0039757
CG14767	FBgn0040777
tRNA:Cys-GCA-2-1	FBgn0052312
Mid1	FBgn0053988
BG01572	FBgn0070002
GC	FBgn0035245
lox	FBgn0039848
Su(var)2-7	FBgn0066069
